Incident Date,Incident Exact Time,Incident Time,Incident Year,Incident Day of Week,Incident Category,nhood,Latitude,Longitude,point,,,incident time number
01/01/2018,2:30:00 AM,3,2018,Monday,Burglary,Excelsior,37.722,-122.43361,"(37.722000219874225, -122.43360633930074)",,,0.10
01/01/2018,1:30:00 AM,2,2018,Monday,Assault,Financial District/South Beach,37.79366,-122.39639,"(37.793663777154755, -122.39639041612962)",,,0.06
01/01/2018,9:00:00 AM,9,2018,Monday,Assault,Oceanview/Merced/Ingleside,37.71698,-122.4519,"(37.7169775067907, -122.45189499287864)",,,0.38
01/01/2018,9:50:00 AM,10,2018,Monday,Burglary,Lakeshore,37.73012,-122.47594,"(37.73011880465789, -122.47593733565002)",,,0.41
01/01/2018,10:45:00 AM,11,2018,Monday,Robbery,Financial District/South Beach,37.78675,-122.40535,"(37.786747617678444, -122.40534607993492)",,,0.45
01/01/2018,1:45:00 PM,14,2018,Monday,Assault,Excelsior,37.71421,-122.43618,"(37.714209482735754, -122.43617646639477)",,,0.57
01/01/2018,2:15:00 PM,14,2018,Monday,Assault,Mission,37.74917,-122.41595,"(37.749172182064, -122.41595464350685)",,,0.59
01/01/2018,5:00:00 AM,5,2018,Monday,Burglary,Inner Richmond,37.78304,-122.46228,"(37.78303833763175, -122.46227876714518)",,,0.21
01/01/2018,12:55:00 AM,1,2018,Monday,Assault,Mission,37.76847,-122.40583,"(37.7684733901082, -122.40582756374104)",,,0.04
01/01/2018,3:02:00 AM,3,2018,Monday,Burglary,Financial District/South Beach,37.78936,-122.40375,"(37.7893632771505, -122.40374684787704)",,,0.13
02/01/2018,8:00:00 AM,8,2018,Tuesday,Burglary,Mission,37.75384,-122.41859,"(37.753836586731786, -122.41859394629981)",,,0.33
02/01/2018,3:48:00 PM,16,2018,Tuesday,Assault,Tenderloin,37.78186,-122.41387,"(37.781863337992526, -122.41386560526722)",,,0.66
02/01/2018,3:30:00 PM,16,2018,Tuesday,Burglary,Sunset/Parkside,37.75238,-122.47629,"(37.75237859860235, -122.47629224106)",,,0.65
02/01/2018,10:55:00 PM,23,2018,Tuesday,Robbery,Financial District/South Beach,37.78549,-122.40785,"(37.785491559268934, -122.40785252141461)",,,0.95
02/01/2018,3:00:00 PM,15,2018,Tuesday,Burglary,South of Market,37.7797,-122.40207,"(37.7797049027246, -122.40206565957504)",,,0.63
03/01/2018,10:08:00 AM,10,2018,Wednesday,Assault,South of Market,37.77499,-122.41006,"(37.77499179106878, -122.41006277137103)",,,0.42
03/01/2018,1:19:00 PM,13,2018,Wednesday,Burglary,Mission Bay,37.77633,-122.39404,"(37.776332975565595, -122.39403506751226)",,,0.55
05/01/2018,1:10:00 AM,1,2018,Friday,Assault,Mission,37.74917,-122.41595,"(37.749172182064, -122.41595464350685)",,,0.05
04/01/2018,7:09:00 PM,19,2018,Thursday,Assault,Bayview Hunters Point,37.73717,-122.38986,"(37.73716953069777, -122.38986446334408)",,,0.80
04/01/2018,4:00:00 PM,16,2018,Thursday,Burglary,West of Twin Peaks,37.73306,-122.45116,"(37.733058401939495, -122.45116099013484)",,,0.67
03/01/2018,10:00:00 PM,22,2018,Wednesday,Burglary,South of Market,37.77833,-122.39653,"(37.7783268304671, -122.39653063923612)",,,0.92
06/01/2018,2:35:00 AM,3,2018,Saturday,Assault,Japantown,37.78625,-122.42824,"(37.786246576578144, -122.42824149689217)",,,0.11
06/01/2018,2:52:00 AM,3,2018,Saturday,Robbery,South of Market,37.78168,-122.40671,"(37.781680265811794, -122.4067111664031)",,,0.12
05/01/2018,8:10:00 AM,8,2018,Friday,Assault,North Beach,37.80707,-122.41726,"(37.80707251301197, -122.41726063240938)",,,0.34
04/01/2018,10:36:00 AM,11,2018,Thursday,Burglary,Golden Gate Park,37.77417,-122.45949,"(37.77416693305064, -122.45948611950966)",,,0.44
06/01/2018,8:10:00 AM,8,2018,Saturday,Assault,Mission,37.75384,-122.41859,"(37.753836586731786, -122.41859394629981)",,,0.34
06/01/2018,10:40:00 AM,11,2018,Saturday,Burglary,Bayview Hunters Point,37.73431,-122.39834,"(37.73431133027179, -122.39834226050647)",,,0.44
05/01/2018,9:00:00 AM,9,2018,Friday,Burglary,Sunset/Parkside,37.75797,-122.47668,"(37.757968980815505, -122.47668417831322)",,,0.38
01/01/2018,1:30:00 AM,2,2018,Monday,Robbery,Bernal Heights,37.73226,-122.42349,"(37.732261252752224, -122.42348641495892)",,,0.06
01/01/2018,2:28:00 AM,2,2018,Monday,Assault,South of Market,37.78212,-122.39684,"(37.78211912156566, -122.39684142850209)",,,0.10
06/01/2018,1:33:00 PM,14,2018,Saturday,Assault,Outer Richmond,37.78023,-122.48152,"(37.78022581795078, -122.48151572367084)",,,0.56
06/01/2018,9:12:00 PM,21,2018,Saturday,Assault,Castro/Upper Market,37.76089,-122.435,"(37.76088893209152, -122.4350007026991)",,,0.88
06/01/2018,7:30:00 PM,20,2018,Saturday,Robbery,Nob Hill,37.78755,-122.42176,"(37.78754813874876, -122.42175810558996)",,,0.81
06/01/2018,11:14:00 PM,23,2018,Saturday,Assault,Haight Ashbury,37.7658,-122.44996,"(37.76580002791046, -122.44995813260148)",,,0.97
06/01/2018,9:25:00 PM,21,2018,Saturday,Assault,Bayview Hunters Point,37.72797,-122.39673,"(37.72796802298079, -122.39673375867875)",,,0.89
07/01/2018,2:00:00 AM,2,2018,Sunday,Assault,South of Market,37.78212,-122.39684,"(37.78211912156566, -122.39684142850209)",,,0.08
07/01/2018,2:00:00 AM,2,2018,Sunday,Assault,South of Market,37.78212,-122.39684,"(37.78211912156566, -122.39684142850209)",,,0.08
07/01/2018,1:00:00 AM,1,2018,Sunday,Robbery,Marina,37.79813,-122.42727,"(37.79813458061945, -122.42726897642036)",,,0.04
07/01/2018,2:55:00 AM,3,2018,Sunday,Assault,Tenderloin,37.78435,-122.40931,"(37.7843492684367, -122.4093091807476)",,,0.12
06/01/2018,11:54:00 PM,24,2018,Saturday,Assault,Western Addition,37.7808,-122.43726,"(37.78080176962032, -122.43726005920409)",,,1.00
06/01/2018,9:50:00 PM,22,2018,Saturday,Robbery,Western Addition,37.7836,-122.43024,"(37.78359535656704, -122.43023750181503)",,,0.91
07/01/2018,1:40:00 AM,2,2018,Sunday,Robbery,South of Market,37.78222,-122.39888,"(37.78222423443935, -122.3988792085295)",,,0.07
07/01/2018,4:25:00 AM,4,2018,Sunday,Assault,South of Market,37.78401,-122.40486,"(37.784006612420036, -122.40486479517743)",,,0.18
07/01/2018,2:00:00 AM,2,2018,Sunday,Assault,Lone Mountain/USF,37.77809,-122.44351,"(37.778089212486144, -122.4435069213075)",,,0.08
07/01/2018,2:00:00 AM,2,2018,Sunday,Burglary,Lone Mountain/USF,37.77809,-122.44351,"(37.778089212486144, -122.4435069213075)",,,0.08
06/01/2018,1:00:00 AM,1,2018,Saturday,Burglary,Tenderloin,37.78165,-122.41551,"(37.7816542606277, -122.41550518013352)",,,0.04
07/01/2018,5:33:00 AM,6,2018,Sunday,Burglary,North Beach,37.80031,-122.4026,"(37.80030712878617, -122.40260412542857)",,,0.23
07/01/2018,5:29:00 AM,5,2018,Sunday,Burglary,Hayes Valley,37.77455,-122.4225,"(37.77455093061696, -122.42250219093546)",,,0.23
06/01/2018,11:00:00 PM,23,2018,Saturday,Robbery,South of Market,37.77746,-122.41316,"(37.77745741894575, -122.4131576926893)",,,0.96
06/01/2018,11:00:00 PM,23,2018,Saturday,Assault,South of Market,37.77746,-122.41316,"(37.77745741894575, -122.4131576926893)",,,0.96
07/01/2018,7:15:00 AM,7,2018,Sunday,Burglary,Castro/Upper Market,37.75809,-122.42805,"(37.758088755711356, -122.42805018675219)",,,0.30
06/01/2018,8:00:00 PM,20,2018,Saturday,Robbery,Tenderloin,37.78424,-122.41771,"(37.78423573864025, -122.4177067508564)",,,0.83
07/01/2018,10:12:00 AM,10,2018,Sunday,Robbery,Mission,37.76505,-122.41967,"(37.76505133632968, -122.41966897380142)",,,0.43
07/01/2018,5:00:00 AM,5,2018,Sunday,Assault,Nob Hill,37.78818,-122.41683,"(37.78817788964108, -122.41682715547994)",,,0.21
07/01/2018,10:20:00 AM,10,2018,Sunday,Robbery,Financial District/South Beach,37.79709,-122.39833,"(37.79709205264024, -122.39833314914345)",,,0.43
07/01/2018,10:20:00 AM,10,2018,Sunday,Assault,Financial District/South Beach,37.79709,-122.39833,"(37.79709205264024, -122.39833314914345)",,,0.43
07/01/2018,10:20:00 AM,10,2018,Sunday,Burglary,Financial District/South Beach,37.79709,-122.39833,"(37.79709205264024, -122.39833314914345)",,,0.43
07/01/2018,9:45:00 AM,10,2018,Sunday,Assault,Mission,37.76505,-122.41967,"(37.76505133632968, -122.41966897380142)",,,0.41
07/01/2018,1:23:00 AM,1,2018,Sunday,Burglary,Tenderloin,37.78093,-122.41368,"(37.780926854425914, -122.41367636179726)",,,0.06
07/01/2018,12:20:00 PM,12,2018,Sunday,Robbery,Bernal Heights,37.74282,-122.42168,"(37.74282117323275, -122.42168044914007)",,,0.51
06/01/2018,8:00:00 PM,20,2018,Saturday,Robbery,Tenderloin,37.78424,-122.41771,"(37.78423573864025, -122.4177067508564)",,,0.83
01/01/2018,2:08:00 AM,2,2018,Monday,Assault,Bernal Heights,37.74817,-122.41822,"(37.74816568813204, -122.41822117169174)",,,0.09
06/01/2018,1:33:00 PM,14,2018,Saturday,Assault,Outer Richmond,37.78023,-122.48152,"(37.78022581795078, -122.48151572367084)",,,0.56
07/01/2018,12:43:00 PM,13,2018,Sunday,Assault,Hayes Valley,37.77211,-122.43043,"(37.77210825726729, -122.43043391908799)",,,0.53
07/01/2018,2:02:00 PM,14,2018,Sunday,Assault,Tenderloin,37.78207,-122.41222,"(37.78207306684549, -122.41222073683006)",,,0.58
04/01/2018,4:00:00 AM,4,2018,Thursday,Burglary,Mission,37.76338,-122.42043,"(37.76337555115752, -122.42043281853437)",,,0.17
